ID,degree,coordinates
1524,519,"139.7668389,35.69636092"
504,504,"139.7570442,35.68431018"
5178,504,"139.745531,35.66203467"
1005,501,"139.7418047,35.68723724"
16347,492,"139.6916144,35.69467596"
5668,490,"139.7538057,35.63696412"
18023,485,"139.7037923,35.66398901"
2002,478,"139.7543978,35.67335735"
15855,475,"139.7054059,35.69702138"
2475,473,"139.7828377,35.68697357"
3862,467,"139.7745685,35.66998822"
6135,467,"139.7353411,35.65164471"
8014,464,"139.7235183,35.62339142"
4674,463,"139.7259117,35.67034591"
2937,462,"139.7720878,35.67964466"
3395,458,"139.7655765,35.67051251"
12804,448,"139.7097207,35.72781321"
12356,443,"139.7293076,35.73465323"
21050,434,"139.7743237,35.71854476"
24792,431,"139.7903151,35.63279825"
8443,429,"139.7439541,35.61712843"
17538,424,"139.6994244,35.67840857"
18443,420,"139.7110099,35.64998239"
20616,415,"139.7862782,35.70297098"
13837,412,"139.761848,35.70762469"
14249,412,"139.7438859,35.7111742"
17114,406,"139.7184147,35.70289695"
15380,404,"139.7227033,35.68557888"
8841,398,"139.7340215,35.59835554"
13425,398,"139.7538668,35.72391625"
6530,395,"139.7302876,35.63740051"
14976,386,"139.7352426,35.70163352"
20201,381,"139.7884656,35.71271137"
18819,376,"139.6800175,35.67391643"
38776,368,"139.5615518,35.70807085"
10628,364,"139.7696799,35.55199857"
16708,361,"139.6917738,35.71712659"
28787,359,"139.6416671,35.6230338"
28428,358,"139.6714428,35.64180982"
4211,349,"139.7790324,35.65777559"
7217,348,"139.6808978,35.61920867"
11913,346,"139.7148346,35.5625941"
19364,343,"139.7795161,35.73804087"
32231,342,"139.7025104,35.75068756"
14590,341,"139.7314637,35.71996232"
6869,339,"139.7045167,35.63454693"
10264,339,"139.7572248,35.57975848"
26149,339,"139.6748936,35.70599871"
22456,335,"139.8001083,35.69497339"
33082,335,"139.7156401,35.78123441"
46051,335,"139.3839387,35.6240288"
25126,334,"139.7995729,35.67318708"
7550,333,"139.6892333,35.64785201"
38408,333,"139.5604214,35.68476942"
33726,331,"139.7442217,35.74438911"
37314,328,"139.864997,35.6591891"
40264,328,"139.4664105,35.67548488"
9925,327,"139.7186254,35.57677553"
22121,327,"139.813673,35.69721479"
23497,325,"139.8320084,35.66476368"
34549,323,"139.8112359,35.78472475"
24361,321,"139.8083678,35.65666891"
31889,318,"139.6880793,35.7653754"
48787,317,"139.6300021,35.46052475"
9157,316,"139.7106939,35.611439"
24040,316,"139.8144215,35.67064958"
36010,314,"139.8392082,35.74994195"
33395,313,"139.7356571,35.76131306"
