node.ID,node.`closeness`,node.DEST,node.ORIG
1524,0.577269994,,"139.7668389,35.69636092"
504,0.567040756,,"139.7570442,35.68431018"
5178,0.567040756,,"139.745531,35.66203467"
1005,0.565038258,,"139.7418047,35.68723724"
16347,0.559114735,,"139.6916144,35.69467596"
5668,0.557815224,,"139.7538057,35.63696412"
18023,0.554592721,,"139.7037923,35.66398901"
2002,0.550143266,,"139.7543978,35.67335735"
15855,0.548258138,,"139.7054059,35.69702138"
2475,0.547008547,,"139.7828377,35.68697357"
507,0.546697039,"139.7668389,35.69636092",
1047,0.546697039,"139.6916144,35.69467596",
1016,0.545454545,"139.745531,35.66203467",
1017,0.544217687,"139.7538057,35.63696412",
1051,0.543601359,"139.7037923,35.66398901",
3862,0.543293718,,"139.7745685,35.66998822"
6135,0.543293718,,"139.7353411,35.65164471"
1007,0.542986425,"139.7570442,35.68431018",
1008,0.542986425,"139.7418047,35.68723724",
1009,0.541760722,"139.7543978,35.67335735",
8014,0.541455161,,"139.7235183,35.62339142"
4674,0.54084507,,"139.7259117,35.67034591"
1010,0.540540541,"139.7828377,35.68697357",
2937,0.540236353,,"139.7720878,35.67964466"
1011,0.539325843,"139.7720878,35.67964466",
1018,0.539325843,"139.7353411,35.65164471",
1046,0.539325843,"139.7054059,35.69702138",
1052,0.539325843,"139.7110099,35.64998239",
1074,0.539325843,"139.7903151,35.63279825",
1023,0.538720539,"139.7235183,35.62339142",
1013,0.538116592,"139.7745685,35.66998822",
1015,0.538116592,"139.7259117,35.67034591",
1038,0.538116592,"139.7097207,35.72781321",
3395,0.537815126,,"139.7655765,35.67051251"
1012,0.536912752,"139.7655765,35.67051251",
1045,0.535714286,"139.7227033,35.68557888",
1050,0.535714286,"139.6994244,35.67840857",
1024,0.534521158,"139.7439541,35.61712843",
1037,0.534521158,"139.7293076,35.73465323",
1125,0.534521158,"139.5615518,35.70807085",
1041,0.533333333,"139.761848,35.70762469",
1049,0.533333333,"139.7184147,35.70289695",
900,0.532150776,"139.9020224,35.64286339",
1053,0.532150776,"139.6800175,35.67391643",
12804,0.531855956,,"139.7097207,35.72781321"
1042,0.530973451,"139.7438859,35.7111742",
1060,0.530973451,"139.7743237,35.71854476",
1019,0.529801325,"139.7302876,35.63740051",
12356,0.52892562,,"139.7293076,35.73465323"
1124,0.528634361,"139.5604214,35.68476942",
1040,0.527472527,"139.7538668,35.72391625",
1025,0.526315789,"139.7340215,35.59835554",
1044,0.526315789,"139.7352426,35.70163352",
1081,0.526315789,"139.6397615,35.70590766",
1084,0.526315789,"139.6070025,35.69722391",
1088,0.526315789,"139.6416671,35.6230338",
1131,0.525164114,"139.4664105,35.67548488",
1145,0.525164114,"139.4649487,35.53898121",
1014,0.524017467,"139.7790324,35.65777559",
1048,0.524017467,"139.6917738,35.71712659",
1079,0.524017467,"139.6748936,35.70599871",
1122,0.524017467,"139.5404373,35.65276807",
21050,0.523731588,,"139.7743237,35.71854476"
1155,0.522875817,"139.3839387,35.6240288",
24792,0.522022838,,"139.7903151,35.63279825"
1020,0.52173913,"139.7045167,35.63454693",
1036,0.52173913,"139.7148346,35.5625941",
8443,0.520889853,,"139.7439541,35.61712843"
1022,0.520607375,"139.6892333,35.64785201",
1029,0.520607375,"139.7186254,35.57677553",
1059,0.520607375,"139.7862782,35.70297098",
1058,0.519480519,"139.7884656,35.71271137",
1082,0.519480519,"139.6507129,35.68215948",
1087,0.519480519,"139.6714428,35.64180982",
1133,0.519480519,"139.5110479,35.70104903",
1021,0.518358531,"139.6808978,35.61920867",
1043,0.518358531,"139.7314637,35.71996232",
17538,0.518078791,,"139.6994244,35.67840857"
1031,0.517241379,"139.7696799,35.55199857",
705,0.516129032,"139.6365633,35.53949007",
1093,0.516129032,"139.6381256,35.64687005",
18443,0.515851693,,"139.7110099,35.64998239"
1030,0.515021459,"139.7572248,35.57975848",
1105,0.515021459,"139.7356571,35.76131306",
1101,0.51391863,"139.7025104,35.75068756",
20616,0.513094602,,"139.7862782,35.70297098"
1149,0.512820513,"139.4342272,35.62162696",
1026,0.511727079,"139.7106939,35.611439",
1066,0.511727079,"139.8001083,35.69497339",
1083,0.511727079,"139.6265447,35.68332672",
1095,0.511727079,"139.6572866,35.73783977",
13837,0.511454449,,"139.761848,35.70762469"
14249,0.511454449,,"139.7438859,35.7111742"
1055,0.510638298,"139.7795161,35.73804087",
1132,0.510638298,"139.4387389,35.68629901",
739,0.50955414,"139.6662313,35.57313865",
1073,0.50955414,"139.8083678,35.65666891",
1104,0.50955414,"139.7156401,35.78123441",
1130,0.50955414,"139.4987436,35.66587847",
1134,0.50955414,"139.4614633,35.70546324",
1070,0.508474576,"139.8320084,35.66476368",
1086,0.508474576,"139.6610513,35.66186772",
1092,0.508474576,"139.6271702,35.66082868",
1135,0.508474576,"139.4988877,35.72664408",
17114,0.5082054,,"139.7184147,35.70289695"
15380,0.507131537,,"139.7227033,35.68557888"
1139,0.50686378,"139.4092385,35.70922959",
717,0.506329114,"139.5429657,35.56790765",
1072,0.506329114,"139.8144215,35.67064958",
1080,0.506329114,"139.6712381,35.68951083",
1090,0.506329114,"139.6055519,35.63169093",
1091,0.506329114,"139.601761,35.66326425",
1097,0.506329114,"139.5905576,35.73212866",
1121,0.506329114,"139.5663243,35.66351504",
1126,0.506329114,"139.5542133,35.73813701",
1136,0.506329114,"139.4610123,35.72848357",
706,0.505263158,"139.6254612,35.50514831",
1078,0.505263158,"139.6521803,35.72152248",
1100,0.505263158,"139.6880793,35.7653754",
1106,0.505263158,"139.7442217,35.74438911",
1120,0.505263158,"139.864997,35.6591891",
742,0.504201681,"139.6232513,35.60103011",
751,0.504201681,"139.5445068,35.61106981",
