ID,ORIGINAL_ID,DEST
1,1524,"139.8320084,35.66476368"
2,1524,"139.7352426,35.70163352"
3,1524,"140.0583783,35.69052951"
4,1524,"139.8359308,35.683108"
5,1524,"139.7720878,35.67964466"
6,1524,"139.7353411,35.65164471"
7,1524,"140.1696033,35.54641415"
8,1524,"140.0601307,35.80159378"
9,1524,"139.9361069,35.81541854"
10,504,"140.5756691,35.95250705"
11,504,"140.4747052,36.07280897"
12,504,"140.4615324,35.68475418"
13,504,"140.4006561,35.8454456"
14,504,"140.3814087,35.55835709"
15,504,"140.3530659,35.80415072"
16,504,"140.3483286,35.39126064"
17,504,"140.3428213,35.51280655"
18,504,"140.3409678,35.72008699"
19,504,"140.3103363,35.95678041"
20,504,"140.3015844,35.44980136"
21,504,"140.2968021,35.64242351"
22,504,"140.2867861,35.7868327"
23,5178,"139.803334,35.91741093"
24,5178,"139.7133435,35.54796544"
25,5178,"140.0278847,35.87731091"
26,5178,"139.8065515,35.70603732"
27,5178,"139.7458343,35.53104838"
28,5178,"139.7134883,35.59052764"
29,5178,"140.1325577,35.64046145"
30,5178,"140.029859,35.7054419"
31,5178,"139.8970821,35.69835739"
32,5178,"139.8083678,35.65666891"
33,5178,"139.769647,35.78788634"
34,5178,"139.7476426,35.79724491"
35,5178,"139.7314637,35.71996232"
36,5178,"139.7148346,35.5625941"
37,5178,"140.2230621,36.01096441"
38,5178,"140.1327775,35.52011271"
39,5178,"140.0882969,35.63544978"
40,5178,"140.0358359,35.92217989"
41,5178,"139.9557081,35.85546061"
42,5178,"139.8995348,35.77323648"
43,5178,"139.8320084,35.66476368"
44,5178,"139.8096585,35.82061715"
45,5178,"139.7795161,35.73804087"
46,5178,"139.7696799,35.55199857"
47,5178,"139.7606623,35.98215299"
48,5178,"139.7490629,35.95841423"
49,5178,"139.740255,36.07079802"
50,5178,"139.7334219,35.94533274"
51,5178,"139.7235183,35.62339142"
52,5178,"139.7156401,35.78123441"
53,5178,"140.2867861,35.7868327"
54,5178,"140.2243736,36.10591902"
55,5178,"140.1792373,35.67162872"
56,5178,"140.1377107,35.61056194"
57,5178,"140.1123083,35.99440834"
58,5178,"140.0949645,35.86335932"
59,5178,"140.0601307,35.80159378"
60,5178,"140.0371036,35.83473018"
61,5178,"139.9807101,35.68395688"
62,5178,"139.9558399,35.71153118"
63,5178,"139.918829,35.67876534"
64,5178,"139.9010449,35.90317359"
65,5178,"139.864997,35.6591891"
66,5178,"139.8359308,35.683108"
67,5178,"139.8181591,35.73293302"
68,5178,"139.8107341,36.11032436"
69,5178,"139.798086,35.72266805"
70,5178,"139.7817754,35.90295314"
71,5178,"139.7745685,35.66998822"
72,1005,"140.6439185,35.96680941"
73,1005,"140.5689109,35.82424579"
74,1005,"140.4207006,35.62403175"
75,1005,"140.4006561,35.8454456"
76,1005,"140.3530659,35.80415072"
77,1005,"140.3428213,35.51280655"
78,1005,"140.2968021,35.64242351"
79,1005,"140.2867861,35.7868327"
80,1005,"140.279692,35.88287414"
81,1005,"140.261835,35.53080461"
82,1005,"140.2407947,35.6814429"
83,1005,"140.233201,35.60103412"
84,1005,"140.230595,35.40470505"
85,1005,"140.2298715,36.16199686"
86,1005,"140.2230621,36.01096441"
87,1005,"140.2104446,35.78722935"
