ID,ORIG
1,"139.7570442,35.68431018"
2,"139.7570442,35.68431018"
3,"139.7570442,35.68431018"
4,"139.7570442,35.68431018"
5,"139.7570442,35.68431018"
6,"139.7570442,35.68431018"
7,"139.7570442,35.68431018"
8,"139.7570442,35.68431018"
9,"139.7570442,35.68431018"
10,"139.7570442,35.68431018"
11,"139.7570442,35.68431018"
12,"139.7570442,35.68431018"
13,"139.7570442,35.68431018"
14,"139.7570442,35.68431018"
15,"139.7570442,35.68431018"
16,"139.7570442,35.68431018"
17,"139.7570442,35.68431018"
18,"139.7570442,35.68431018"
19,"139.7570442,35.68431018"
20,"139.7570442,35.68431018"
21,"139.7570442,35.68431018"
22,"139.7570442,35.68431018"
23,"139.7570442,35.68431018"
24,"139.7570442,35.68431018"
25,"139.7570442,35.68431018"
26,"139.7570442,35.68431018"
27,"139.7570442,35.68431018"
28,"139.7570442,35.68431018"
29,"139.7570442,35.68431018"
30,"139.7570442,35.68431018"
31,"139.7570442,35.68431018"
32,"139.7570442,35.68431018"
33,"139.7570442,35.68431018"
34,"139.7570442,35.68431018"
35,"139.7570442,35.68431018"
36,"139.7570442,35.68431018"
37,"139.7570442,35.68431018"
38,"139.7570442,35.68431018"
39,"139.7570442,35.68431018"
40,"139.7570442,35.68431018"
41,"139.7570442,35.68431018"
42,"139.7570442,35.68431018"
43,"139.7570442,35.68431018"
44,"139.7570442,35.68431018"
45,"139.7570442,35.68431018"
46,"139.7570442,35.68431018"
47,"139.7570442,35.68431018"
48,"139.7570442,35.68431018"
49,"139.7570442,35.68431018"
50,"139.7570442,35.68431018"
51,"139.7570442,35.68431018"
52,"139.7570442,35.68431018"
53,"139.7570442,35.68431018"
54,"139.7570442,35.68431018"
55,"139.7570442,35.68431018"
56,"139.7570442,35.68431018"
57,"139.7570442,35.68431018"
58,"139.7570442,35.68431018"
59,"139.7570442,35.68431018"
60,"139.7570442,35.68431018"
61,"139.7570442,35.68431018"
62,"139.7570442,35.68431018"
63,"139.7570442,35.68431018"
64,"139.7570442,35.68431018"
65,"139.7570442,35.68431018"
66,"139.7570442,35.68431018"
67,"139.7570442,35.68431018"
68,"139.7570442,35.68431018"
69,"139.7570442,35.68431018"
70,"139.7570442,35.68431018"
71,"139.7570442,35.68431018"
72,"139.7570442,35.68431018"
73,"139.7570442,35.68431018"
74,"139.7570442,35.68431018"
75,"139.7570442,35.68431018"
76,"139.7570442,35.68431018"
77,"139.7570442,35.68431018"
78,"139.7570442,35.68431018"
79,"139.7570442,35.68431018"
80,"139.7570442,35.68431018"
81,"139.7570442,35.68431018"
82,"139.7570442,35.68431018"
83,"139.7570442,35.68431018"
84,"139.7570442,35.68431018"
85,"139.7570442,35.68431018"
86,"139.7570442,35.68431018"
87,"139.7570442,35.68431018"
88,"139.7570442,35.68431018"
89,"139.7570442,35.68431018"
90,"139.7570442,35.68431018"
91,"139.7570442,35.68431018"
92,"139.7570442,35.68431018"
93,"139.7570442,35.68431018"
94,"139.7570442,35.68431018"
95,"139.7570442,35.68431018"
96,"139.7570442,35.68431018"
97,"139.7570442,35.68431018"
98,"139.7570442,35.68431018"
99,"139.7570442,35.68431018"
100,"139.7570442,35.68431018"
101,"139.7570442,35.68431018"
102,"139.7570442,35.68431018"
103,"139.7570442,35.68431018"
104,"139.7570442,35.68431018"
105,"139.7570442,35.68431018"
106,"139.7570442,35.68431018"
107,"139.7570442,35.68431018"
108,"139.7570442,35.68431018"
109,"139.7570442,35.68431018"
110,"139.7570442,35.68431018"
111,"139.7570442,35.68431018"
112,"139.7570442,35.68431018"
113,"139.7570442,35.68431018"
114,"139.7570442,35.68431018"
115,"139.7570442,35.68431018"
116,"139.7570442,35.68431018"
117,"139.7570442,35.68431018"
118,"139.7570442,35.68431018"
119,"139.7570442,35.68431018"
120,"139.7570442,35.68431018"
121,"139.7570442,35.68431018"
122,"139.7570442,35.68431018"
123,"139.7570442,35.68431018"
124,"139.7570442,35.68431018"
125,"139.7570442,35.68431018"
126,"139.7570442,35.68431018"
127,"139.7570442,35.68431018"
128,"139.7570442,35.68431018"
129,"139.7570442,35.68431018"
130,"139.7570442,35.68431018"
131,"139.7570442,35.68431018"
132,"139.7570442,35.68431018"
133,"139.7570442,35.68431018"
134,"139.7570442,35.68431018"
135,"139.7570442,35.68431018"
136,"139.7570442,35.68431018"
137,"139.7570442,35.68431018"
138,"139.7570442,35.68431018"
139,"139.7570442,35.68431018"
140,"139.7570442,35.68431018"
141,"139.7570442,35.68431018"
142,"139.7570442,35.68431018"
143,"139.7570442,35.68431018"
144,"139.7570442,35.68431018"
145,"139.7570442,35.68431018"
146,"139.7570442,35.68431018"
147,"139.7570442,35.68431018"
148,"139.7570442,35.68431018"
149,"139.7570442,35.68431018"
150,"139.7570442,35.68431018"
151,"139.7570442,35.68431018"
152,"139.7570442,35.68431018"
153,"139.7570442,35.68431018"
154,"139.7570442,35.68431018"
155,"139.7570442,35.68431018"
156,"139.7570442,35.68431018"
157,"139.7570442,35.68431018"
158,"139.7570442,35.68431018"
159,"139.7570442,35.68431018"
160,"139.7570442,35.68431018"
161,"139.7570442,35.68431018"
162,"139.7570442,35.68431018"
163,"139.7570442,35.68431018"
164,"139.7570442,35.68431018"
165,"139.7570442,35.68431018"
166,"139.7570442,35.68431018"
167,"139.7570442,35.68431018"
168,"139.7570442,35.68431018"
169,"139.7570442,35.68431018"
170,"139.7570442,35.68431018"
171,"139.7570442,35.68431018"
172,"139.7570442,35.68431018"
173,"139.7570442,35.68431018"
